Date,Source,County,elem_students,elem_staff,elem_unk,Elem_caserate_student,Elem_caserate_ALL,mid_students,mid_staff,mid_unk,mid_caserate_students,mid_caserate_ALL,high_students,high_staff,high_unk,high_caserate_students,high_caserate_ALL,k8_students,k8_staff,k8_unk,,,midhigh_students,midhigh_staff,midhigh_unk,,,k12_students,k12_staff,k12_unk,,,unk_students,unk_staff,unk_unk,other_student,other_staff,other_unknown,Total_cases,District_rate_ALL,District_rate_students,District_rate_staff,student_count,student_F2F,staff_count,firstday_students,firstday_teachers,P_district,P_Pk5,P_6-8,P_9-12,P_K8,P_K12,P_612,P_Other,N_elem,N_middle,N_high,N_K8,N_K12,N_612,N_Other,Masks_required
44149,State,MADISON,2,0,,0.198000198,0.198000198,,,,0,0,3,2,,0.271493213,0.452488688,6,3,,0.634786289,0.952179433,1,2,,,,,,,,,,,,,,,19,0.458726671,0.332216716,1.321253303,44558,36121,5298,44074,44067,81.1,82.3,79.5,78.2,84.3,,,,10101,5518,11050,9452,,,,Yes
44149,State,MANATEE,20,9,,2.205801257,3.198411823,11,7,,2.892453326,4.733105443,46,10,,8.218688583,10.00536001,3,0,,,,5,1,,,,1,3,,,,,,,40,12,,168,6.979932694,6.680097551,8.066064913,37971,18862,5207,44067,44053,49.7,58.3,42.6,42.8,,,,,9067,3803,5597,,,,,Yes
44149,State,MARION,39,38,,20.4616999,40.39874082,24,11,,35.87443946,52.31689088,85,15,,92.79475983,109.1703057,1,1,,,,1,3,,1.883239171,7.532956685,2,1,,,,,,,12,10,,243,46.52498564,40.77573347,65.7785179,4822,4022,1201,44067,44053,83.4,85.6,80.8,90.9,,,76.2,,1906,669,916,,,531,,Yes
44149,State,MARTIN,10,9,,5.0530571,9.600808489,19,4,,29.1858679,35.33026114,44,5,,32.16374269,35.81871345,,,,0,0,1,0,,,,2,0,,,,,,,20,5,,119,24.69904525,23.87465805,28.85821832,5424,4021,797,44053,44046,74.1,75.1,68.7,76,38.3,,,,1979,651,1368,23,,,,No
44149,State,MONROE,5,1,,4.587155963,5.504587156,,,,0,0,14,1,,32.18390805,34.48275862,18,3,,142.8571429,166.6666667,3,0,,,,,,,,,,,,1,0,,46,17.96875,19.38534279,11.23595506,2727,2115,445,44074,44042,77.6,80.9,73.7,74.5,77.7,,,,1090,464,435,126,,,,No
44149,State,NASSAU,16,9,,16.91331924,26.42706131,7,8,,11.02362205,23.62204724,18,2,,44.00977995,48.8997555,,,,,,19,4,,,,,,,,,,,,6,2,,91,39.89478299,33.16582915,85.91065292,2354,1990,291,44055,44043,84.5,93,88.3,66.2,,,,,946,635,409,,,,,No
44149,State,OKALOOSA,60,50,,3.564003564,6.534006534,51,19,,7.240204429,9.937535491,142,25,,12.6357003,14.86029543,9,2,,3.420752566,4.180919802,4,4,,,,16,8,,,,,,,6,10,,406,8.890056712,7.629543287,14.89710895,60855,37748,7921,44074,44054,62,75.9,63.6,67.2,91.6,,,,16835,7044,11238,2631,,,,Yes
44149,State,OKEECHOBEE,13,2,,7.738095238,8.928571429,9,1,,10.03344482,11.14827202,9,2,,7.712082262,9.42587832,,,,,,,,,,,0,2,,,,,,,2,0,,40,8.186655751,7.775683318,10.90342679,5024,4244,642,44056,44049,84.4,83.5,84.4,81.6,,,,96.5,1680,897,1167,,,,500,No
44149,State,ORANGE,179,101,,46.03909465,72.01646091,80,30,,42.80363831,58.85500268,206,61,,104.6747967,135.6707317,28,14,,,,5,0,,,,2,1,,,,,,,80,24,,811,78.51679737,62.865814,209.4288305,10604,9226,1103,44053,44046,87,95,90,88.3,,,,67.4,3888,1869,1968,,,,1501,No
44149,State,OSCEOLA,54,32,,40.94010614,65.20090978,33,12,,52.46422893,71.54213037,56,28,,71.33757962,107.0063694,52,8,,1040,1200,7,0,,,,4,2,,,,,,,51,12,,351,105.46875,92.34638879,172.4770642,3389,2783,545,44069,44053,81.9,83.9,83.2,78,90.9,,,,1319,629,785,50,,,,No
44149,State,PALM BEACH,167,109,,,,70,36,,,,187,46,,,,25,9,,,,11,4,,,,2,3,,,,,,,98,30,,797,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,PASCO,111,54,,,,60,23,,,,159,29,,,,5,3,,,,7,5,,,,10,3,,,,,,,30,21,,520,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,PINELLAS,99,54,,,,48,19,,,,174,33,,,,27,16,,,,1,0,,,,0,1,,,,,,,103,40,,615,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,POLK,97,75,,,,50,24,,,,106,13,,,,13,6,,,,35,5,,,,5,9,,,,,,,37,28,,503,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,PUTNAM,20,14,,,,22,6,,,,27,9,,,,,,,,,9,2,,,,1,0,,,,,,,10,19,,139,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,SANTA ROSA,35,45,,,,26,12,,,,92,14,,,,2,0,,,,4,2,,,,2,2,,,,,,,5,0,,241,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,SARASOTA,44,15,,,,29,4,,,,86,14,,,,4,0,,,,,,,,,17,13,,,,,,,18,16,,260,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,SEMINOLE,63,26,,,,34,10,,,,107,24,,,,4,0,,,,2,0,,,,,,,,,,,,44,14,,328,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,ST. JOHNS,47,21,,,,41,11,,,,138,15,,,,44,17,,,,1,1,,,,,,,,,,,,15,10,,361,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,ST. LUCIE,16,7,,,,1,4,,,,49,8,,,,19,16,,,,5,0,,,,1,1,,,,,,,17,6,,150,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,SUMTER,11,6,,,,3,0,,,,11,2,,,,,,,,,19,8,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,SUWANNEE,7,13,,,,6,4,,,,21,1,,,,,,,,,2,0,,,,1,0,,,,,,,8,5,,68,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,TAYLOR,8,6,,,,6,0,,,,12,2,,,,,,,,,,,,,,,,,,,,,,1,0,,35,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,UNION,6,6,,,,11,0,,,,21,6,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,VOLUSIA,48,45,,,,42,14,,,,97,31,,,,5,3,,,,9,3,,,,,,,,,,,,32,17,,346,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,WAKULLA,16,3,,,,8,1,,,,18,4,,,,0,1,,,,,,,,,,,,,,,,,3,0,,54,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,WALTON,4,5,,,,3,5,,,,11,4,,,,,,,,,1,2,,,,4,2,,,,,,,0,6,,47,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,WASHINGTON,7,4,,,,11,0,,,,19,1,,,,,,,,,,,,,,,,,,,,,,1,1,,44,,,,,,,,,,,,,,,,,,,,,,,,
44149,State,UNKNOWN,2,7,,,,0,1,,,,0,1,,,,0,1,,,,,,,,,,,,,,,,,43,55,,110,,,,,,,,,,,,,,,,,,,,,,,,
