FID,SCHOOLNAME,Address,CITY,CUMULATIVE_COVID_Students,CUMULATIVE_COVID_Teachers,F30Day_Students,F30Day_Employees
345,Carolina Forest High,700 Gardner Lacy Road,Myrtle Beach,0,0,0,0
346,Cane Bay Middle,1175 Cane Bay Boulevard,Summerville,0,0,0,0
347,Carolina Park Elementary,3650 Park Ave Blvd,Mt. Pleasant,0,0,0,0
348,Carolina Springs Elementary,6340 Platt Springs Road,Lexington,0,0,0,0
349,Carolina Springs Middle,6180 Platt Springs Road,Lexington,< 5,0,0,0
350,Carver Edisto Middle,2018 Carver School Road,Cope,0,< 5,0,0
351,Cherokee Charter School,3206 Cherokee Ave,Gaffney,0,0,0,0
352,Chesterfield High,401 North Page Street,Chesterfield,< 5,0,< 5,0
353,Chesterfield-Ruby Middle,14445 Highway 9,Chesterfield,0,0,0,0
354,Chestnut Oaks Middle,1200 Oswego Road,Sumter,0,0,0,0
355,Chicora Elementary,3795 Spruill Avenue,North Charleston,0,0,0,0
356,Cheraw Primary,321 High Street,Cheraw,0,0,0,0
357,Child Dev Ctr at Woods Rd,301 South Dargan Street,Florence,0,0,0,0
358,Clay Hill Elementary,387 South Railroad Avenue,Ridgeville,0,0,0,0
359,Chukker Creek Elementary,1830 Chukker Creek Road,Aiken,0,0,0,0
360,Clear Dot Charter School,2015 Marion Street,Columbia,0,0,0,0
361,Clemson Elementary,581 Berkeley Drive,Clemson,0,< 5,0,0
362,Clinton Elementary,110 Clinton School Road,Lancaster,0,0,0,0
363,Clinton Elementary,800 Chestnut Street,Clinton,< 5,0,< 5,0
364,Clinton High,18132 Highway 72 East,Clinton,< 5,0,< 5,0
365,Clinton Middle,800 North Adair Street,Clinton,0,0,0,0
366,Clio Elementary/Middle,2635 Highway 9 East,Clio,0,0,0,0
367,Clover High,1625 Highway 55 East,Clover,14,< 5,12,0
368,Clover Middle,1233 Barrett Road,Clover,< 5,0,< 5,0
369,Coastal Leadership Acad,3710 Palmetto Pointe Boulevard,Myrtle Beach,0,< 5,0,0
370,Coastal Montessori Charter,111 Plantation Drive,Pawleys Island,0,0,0,0
371,College Park Elementary,100 Davidson Drive,Ladson,0,0,0,0
372,College Park Middle,713 College Park Road,Ladson,0,0,0,0
373,Clearwater Elementary,4552 Augusta Road,Clearwater,0,0,0,0
374,Colleton County High,150 Cougar Nation Drive,Walterboro,< 5,0,< 5,0
375,Colleton County Middle,1379 Tuskegee Airmen Drive,Walterboro,0,0,0,0
376,Columbia High,1701 Westchester Drive,Columbia,< 5,0,< 5,0
377,Concord Elementary,2701 Calrossie Road,Anderson,0,0,0,0
378,Concrete Primary,535 Powdersville Main,Easley,< 5,0,< 5,0
379,Congaree Elementary,1221 Ramblin' Road,West Columbia,0,0,0,0
380,Conway Elementary,1101 Snowhill Drive,Conway,0,0,0,0
381,Conway High,2301 Church Street,Conway,0,0,0,0
382,Conway Middle,1104 Elm Street,Conway,0,< 5,0,< 5
383,Cooley Springs-Fingerville Ele,140 Cooley Springs School Road,Chesnee,0,0,0,0
384,Cooper River Cntr Adv. Studies,1088 East Montague Avenue,North Charleston,0,0,0,0
385,Coosa Elementary,45 Middle Road,Beaufort,0,< 5,0,< 5
386,Cope Area Career Center,6052 Slab Landing Road,Cope,0,0,0,0
387,Corinth Elementary,128 Corinth Road,Gaffney,0,0,0,0
388,Cottageville Elementary,648 Peirce Road,Cottageville,0,0,0,0
389,Cotton Belt Elementary,1176 Black Highway,York,0,0,0,0
390,Cowpens Elementary,341 Foster Street,Cowpens,< 5,0,< 5,0
391,Cowpens Middle,150 Foster Street,Cowpens,0,0,0,0
392,Crayton Middle,5000 Clemson Avenue,Columbia,0,0,0,0
393,Crescent High,9104 Highway 81 South,Iva,< 5,< 5,< 5,< 5
394,Crestview Elementary,509 American Legion Road,Greer,0,0,0,0
395,Crestwood High,2000 Oswego Road,Sumter,0,0,0,0
396,Creek Bridge STEM Academy,6641 South Highway41,Marion,0,0,0,0
397,Cross Elementary,1325 Ranger Drive,Cross,0,0,0,0
398,Cross High,1293 Old Highway 6,Cross,0,< 5,0,< 5
399,CrossRoads Intermediate,6949 St. Andrews Road,Columbia,0,0,0,0
400,Crosswell Drive Elementary,310 Crosswell Drive,Sumter,0,< 5,0,0
401,Longleaf Middle,1160 Longreen Parkway,Columbia,0,0,0,0
402,Finley Road Elementary,1089 Finley Road,Rock Hill,0,0,0,0
403,Loris Elementary,901 Highway 9 Business East,Loris,0,0,0,0
404,Fairforest Middle,150 Lincoln Road,Spartanburg,0,< 5,0,0
405,Loris High,301 Loris Lions Road,Loris,0,0,0,0
406,Estill High,"1450 Columbia Highway, Suite A",Estill,0,0,0,0
407,Loris Middle,5209 Highway 66,Loris,0,0,0,0
408,Estill Middle,"1450 Columbia Highway, Suite B",Estill,0,0,0,0
409,Lowcountry Leadership Crtr Sch,5139 Gibson Road,Meggett,0,0,0,0
410,Flat Rock Elementary,115 Thompson Road,Anderson,< 5,0,< 5,0
411,Lowcountry Montessori Sch,749 Broad River Drive,Beaufort,0,0,0,0
412,Florence Career Center,126 East Howe Springs Road,Florence,0,0,0,0
413,Lower Lee Elementary,5142 St. Charles Road,Mayesville,0,0,0,0
414,Florence Chapel Middle,290 Shoals Road,Duncan,< 5,< 5,< 5,< 5
415,Lower Richland High,2615 Lower Richland Boulevard,Hopkins,0,0,0,0
416,Flowertown Elementary,20 King Charles Circle,Summerville,0,< 5,0,< 5
417,Lucy T. Davis Elementary,201 Westfield Drive,Florence,0,0,0,0
418,Floyd D. Johnson Tech Ctr,275 Alexander Love Highway,York,0,0,0,0
419,Beckham High,1560 Mathis Ferry Road,Mount Pleasant,< 5,0,< 5,0
420,Ford Elementary,601 Lucas Avenue,Laurens,0,0,0,0
421,Lugoff Elementary,994 Ridgeway Road,Lugoff,0,0,0,0
422,Forest Acres Elementary,401 McAlister Road,Easley,< 5,0,< 5,0
423,Lugoff-Elgin High,1284 Highway 1 South,Lugoff,< 5,< 5,< 5,< 5
424,Forest Heights Elementary,2500 Blue Ridge Terrace,Columbia,0,0,0,0
425,Lugoff-Elgin Middle,1244 Highway 1 South,Lugoff,0,0,0,0
426,Forest Hills Elementary,633 Hiers Corner Road,Walterboro,0,0,0,0
427,Luther L. Vaughan  Elementary,192 Vaughan Road,Gaffney,0,< 5,0,< 5
